,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,is_male
44,49.1,15.0,228.0,5500.0,1.0
45,39.7,17.9,193.0,4250.0,1.0
46,40.6,17.2,187.0,3475.0,1.0
47,36.4,17.0,195.0,3325.0,0.0
48,45.7,13.9,214.0,4400.0,0.0
49,35.3,18.9,187.0,3800.0,0.0
50,35.0,17.9,190.0,3450.0,0.0
51,45.1,14.5,215.0,5000.0,0.0
52,45.5,15.0,220.0,5000.0,1.0
53,45.5,13.9,210.0,4200.0,0.0
54,40.8,18.9,208.0,4300.0,1.0
55,51.5,18.7,187.0,3250.0,1.0
56,39.5,17.8,188.0,3300.0,0.0
57,44.9,13.8,212.0,4750.0,0.0
58,39.2,18.6,190.0,4250.0,1.0
59,36.0,17.8,195.0,3450.0,0.0
60,48.6,16.0,230.0,5800.0,1.0
61,40.7,17.0,190.0,3725.0,1.0
62,51.3,18.2,197.0,3750.0,1.0
63,44.9,13.3,213.0,5100.0,0.0
64,50.7,19.7,203.0,4050.0,1.0
65,46.1,15.1,215.0,5100.0,1.0
66,36.5,18.0,182.0,3150.0,0.0
67,50.8,18.5,201.0,4450.0,1.0
68,49.5,19.0,200.0,3800.0,1.0
69,45.5,13.7,214.0,4650.0,0.0
70,49.3,15.7,217.0,5850.0,1.0
71,39.6,17.7,186.0,3500.0,0.0
72,46.6,17.8,193.0,3800.0,0.0
73,41.1,17.5,190.0,3900.0,1.0
74,47.5,15.0,218.0,4950.0,0.0
75,37.3,20.5,199.0,3775.0,1.0
76,46.2,14.9,221.0,5300.0,1.0
77,51.0,18.8,203.0,4100.0,1.0
78,38.2,18.1,185.0,3950.0,1.0
79,51.5,16.3,230.0,5500.0,1.0
80,41.3,20.3,194.0,3550.0,1.0
81,37.2,19.4,184.0,3900.0,1.0
82,47.5,16.8,199.0,3900.0,0.0
83,49.8,16.8,230.0,5700.0,1.0
84,43.3,14.0,208.0,4575.0,0.0
85,50.5,19.6,201.0,4050.0,1.0
86,50.2,18.8,202.0,3800.0,1.0
87,38.9,18.8,190.0,3600.0,0.0
88,50.4,15.7,222.0,5750.0,1.0
89,35.2,15.9,186.0,3050.0,0.0
90,42.4,17.3,181.0,3600.0,0.0
91,48.4,14.4,203.0,4625.0,0.0
92,38.6,17.0,188.0,2900.0,0.0
93,46.5,14.5,213.0,4400.0,0.0
94,51.7,20.3,194.0,3775.0,1.0
95,46.1,18.2,178.0,3250.0,0.0
96,37.7,18.7,180.0,3600.0,1.0
97,42.9,17.6,196.0,4700.0,1.0
98,42.7,18.3,196.0,4075.0,1.0
99,40.9,13.7,214.0,4650.0,0.0
100,51.9,19.5,206.0,3950.0,1.0
101,39.0,18.7,185.0,3650.0,1.0
102,39.3,20.6,190.0,3650.0,1.0
103,37.7,16.0,183.0,3075.0,0.0
104,50.8,19.0,210.0,4100.0,1.0
105,41.1,19.1,188.0,4100.0,1.0
106,45.8,18.9,197.0,4150.0,1.0
107,46.0,18.9,195.0,4150.0,0.0
108,49.1,14.8,220.0,5150.0,0.0
109,48.7,15.7,208.0,5350.0,1.0
110,46.5,13.5,210.0,4550.0,0.0
111,46.9,14.6,222.0,4875.0,0.0
112,39.6,18.8,190.0,4600.0,1.0
113,42.9,13.1,215.0,5000.0,0.0
114,34.4,18.4,184.0,3325.0,0.0
115,42.2,19.5,197.0,4275.0,1.0
116,44.4,17.3,219.0,5250.0,1.0
117,36.7,19.3,193.0,3450.0,0.0
118,50.5,15.2,216.0,5000.0,0.0
119,43.1,19.2,197.0,3500.0,1.0
120,40.5,18.9,180.0,3950.0,1.0
121,39.2,21.1,196.0,4150.0,1.0
122,35.1,19.4,193.0,4200.0,1.0
123,50.9,19.1,196.0,3550.0,1.0
124,46.9,16.6,192.0,2700.0,0.0
125,50.8,15.7,226.0,5200.0,1.0
126,47.8,15.0,215.0,5650.0,1.0
127,50.0,15.2,218.0,5700.0,1.0
128,38.8,17.2,180.0,3800.0,1.0
129,46.4,15.6,221.0,5000.0,1.0
130,52.1,17.0,230.0,5550.0,1.0
131,47.6,18.3,195.0,3850.0,0.0
132,47.4,14.6,212.0,4725.0,0.0
133,36.3,19.5,190.0,3800.0,1.0
134,40.6,18.8,193.0,3800.0,1.0
135,40.3,18.0,195.0,3250.0,0.0
136,38.7,19.0,195.0,3450.0,0.0
137,38.1,16.5,198.0,3825.0,0.0
138,42.0,13.5,210.0,4150.0,0.0
139,34.0,17.1,185.0,3400.0,0.0
140,36.6,17.8,185.0,3700.0,0.0
141,59.6,17.0,230.0,6050.0,1.0
142,46.8,16.1,215.0,5500.0,1.0
143,36.4,17.1,184.0,2850.0,0.0
144,41.1,19.0,182.0,3425.0,1.0
145,46.0,21.5,194.0,4200.0,1.0
146,51.3,19.9,198.0,3700.0,1.0
147,39.0,17.5,186.0,3550.0,0.0
148,55.8,19.8,207.0,4000.0,1.0
149,50.5,15.9,225.0,5400.0,1.0
150,55.9,17.0,228.0,5600.0,1.0
151,50.7,15.0,223.0,5550.0,1.0
152,55.1,16.0,230.0,5850.0,1.0
153,44.1,18.0,210.0,4000.0,1.0
154,49.6,16.0,225.0,5700.0,1.0
155,35.9,16.6,190.0,3050.0,0.0
156,48.2,14.3,210.0,4600.0,0.0
157,43.8,13.9,208.0,4300.0,0.0
158,35.6,17.5,191.0,3175.0,0.0
159,46.2,17.5,187.0,3650.0,0.0
160,37.9,18.6,172.0,3150.0,0.0
161,50.2,14.3,218.0,5700.0,1.0
162,49.0,19.5,210.0,3950.0,1.0
163,42.3,21.2,191.0,4150.0,1.0
164,36.2,17.2,187.0,3150.0,0.0
165,37.3,16.8,192.0,3000.0,0.0
166,42.6,13.7,213.0,4950.0,0.0
167,48.5,14.1,220.0,5300.0,1.0
168,52.2,18.8,197.0,3450.0,1.0
169,45.4,18.7,188.0,3525.0,0.0
170,49.2,15.2,221.0,6300.0,1.0
171,35.7,17.0,189.0,3350.0,0.0
172,45.6,19.4,194.0,3525.0,0.0
173,49.5,16.2,229.0,5800.0,1.0
174,37.9,18.6,193.0,2925.0,0.0
175,46.6,14.2,210.0,4850.0,0.0
176,43.2,18.5,192.0,4100.0,1.0
177,47.2,13.7,214.0,4925.0,0.0
178,50.3,20.0,197.0,3300.0,1.0
179,40.8,18.4,195.0,3900.0,1.0
180,42.5,16.7,187.0,3350.0,0.0
181,41.1,18.6,189.0,3325.0,1.0
182,39.1,18.7,181.0,3750.0,1.0
183,35.0,17.9,192.0,3725.0,0.0
184,49.5,16.1,224.0,5650.0,1.0
185,41.0,20.0,203.0,4725.0,1.0
186,46.8,14.3,215.0,4850.0,0.0
187,51.1,16.3,220.0,6000.0,1.0
188,50.6,19.4,193.0,3800.0,1.0
189,42.8,18.5,195.0,4250.0,1.0
190,34.5,18.1,187.0,2900.0,0.0
191,46.8,16.5,189.0,3650.0,0.0
192,48.4,14.6,213.0,5850.0,1.0
193,51.3,19.2,193.0,3650.0,1.0
194,37.8,18.1,193.0,3750.0,1.0
195,49.7,18.6,195.0,3600.0,1.0
196,40.2,20.1,200.0,3975.0,1.0
197,50.0,15.9,224.0,5350.0,1.0
198,45.2,14.8,212.0,5200.0,0.0
199,45.2,15.8,215.0,5300.0,1.0
200,49.3,19.9,203.0,4050.0,1.0
201,35.7,18.0,202.0,3550.0,0.0
202,41.5,18.3,195.0,4300.0,1.0
203,48.2,15.6,221.0,5100.0,1.0
204,45.5,14.5,212.0,4750.0,0.0
205,40.3,18.5,196.0,4350.0,1.0
206,38.3,19.2,189.0,3950.0,1.0
207,46.5,14.4,217.0,4900.0,0.0
208,40.6,19.0,199.0,4000.0,1.0
209,41.1,18.2,192.0,4050.0,1.0
210,50.5,15.9,222.0,5550.0,1.0
211,52.5,15.6,221.0,5450.0,1.0
212,36.0,17.9,190.0,3450.0,0.0
213,45.6,20.3,191.0,4600.0,1.0
214,45.3,13.8,208.0,4200.0,0.0
215,45.2,16.4,223.0,5950.0,1.0
216,44.1,19.7,196.0,4400.0,1.0
217,37.6,19.1,194.0,3750.0,1.0
218,46.4,15.0,216.0,4700.0,0.0
219,38.1,17.6,187.0,3425.0,0.0
220,40.9,18.9,184.0,3900.0,1.0
221,52.0,20.7,210.0,4800.0,1.0
222,58.0,17.8,181.0,3700.0,0.0
223,45.2,17.8,198.0,3950.0,0.0
224,42.8,14.2,209.0,4700.0,0.0
225,45.2,16.6,191.0,3250.0,0.0
226,38.8,20.0,190.0,3950.0,1.0
227,42.2,18.5,180.0,3550.0,0.0
228,37.5,18.5,199.0,4475.0,1.0
229,53.5,19.9,205.0,4500.0,1.0
230,49.4,15.8,216.0,4925.0,1.0
231,47.5,14.2,209.0,4600.0,0.0
232,47.5,14.0,212.0,4875.0,0.0
233,50.0,19.5,196.0,3900.0,1.0
234,46.5,14.8,217.0,5200.0,0.0
235,44.5,14.7,214.0,4850.0,0.0
236,54.2,20.8,201.0,4300.0,1.0
237,39.7,18.9,184.0,3550.0,1.0
238,51.4,19.0,201.0,3950.0,1.0
239,47.3,15.3,222.0,5250.0,1.0
240,37.7,19.8,198.0,3500.0,1.0
241,45.1,14.4,210.0,4400.0,0.0
242,36.2,16.1,187.0,3550.0,0.0
243,39.5,16.7,178.0,3250.0,0.0
244,49.2,18.2,195.0,4400.0,1.0
245,53.4,15.8,219.0,5500.0,1.0
246,46.4,17.8,191.0,3700.0,0.0
247,48.1,15.1,209.0,5500.0,1.0
248,37.0,16.9,185.0,3000.0,0.0
249,49.0,19.6,212.0,4300.0,1.0
250,47.2,15.5,215.0,4975.0,0.0
251,36.2,17.3,187.0,3300.0,0.0
252,40.9,16.8,191.0,3700.0,0.0
253,39.6,18.1,186.0,4450.0,1.0
254,49.1,14.5,212.0,4625.0,0.0
255,50.0,15.3,220.0,5550.0,1.0
256,45.8,14.2,219.0,4700.0,0.0
257,49.6,18.2,193.0,3775.0,1.0
258,34.6,21.1,198.0,4400.0,1.0
259,49.8,17.3,198.0,3675.0,0.0
260,44.0,13.6,208.0,4350.0,0.0
261,43.5,15.2,213.0,4650.0,0.0
262,50.1,17.9,190.0,3400.0,0.0
263,41.4,18.5,202.0,3875.0,1.0
264,42.0,19.5,200.0,4050.0,1.0
265,50.5,18.4,200.0,3400.0,0.0
